 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;1936034;NUMUNE;34mm;;5.47;tek göz çoklu kalıpta;;;;;;
;1936028;NUMUNE;28mm;;4;tek göz çoklu kalıpta;;;;;;
;1936016;NUMUNE;16mm;;2.05;tek göz numune;;;;;;
;1937017.8;DİKME AKSESUAR;17.8 mm;;8.4.;NUMUNE KALIBI 10 GÖZ;;;;;;
;1938023.4;ROZET;23.4 mm;;;16;;;;;;
;1939018;ROZET;18 mm;;32.7 ;16;;;;;;
;1940012.7;ROZET;12.7mm;20;1.59;16;;;;;;
;1941059.4;KEMER TOKASI;59.4mm;;10.03.;6.;;;;;;
;1942021.1;KEMER TOKASI;21.1mm;;7.89.;6;;;;;;
;1943819;BAĞ UCU;19 mm;;1.90.;16;;;;;;
;1944030;HALKA;30mm;;13.11;2;;;;;;
;1944020;HALKA;20mm;;6.43;4;;;;;;
;1945010;AKSESUAR;10mm;;1.328;4;;;;;;
;1946025;HALKA;25 mm;;2.99.;4;;;;;;
;1946037;HALKA;37mm;;6.25;1;;;;;;
;1946046;HALKA;46mm;;8.9;1;;;;;;
;1946057;HALKA;57mm;;12.4;1;;;;;;
;1946030;HALKA;30mm;;4.15;1;;;;;;
;1947013;HAMSİ;130mm;;35;4;;;;;;
;1948025;GECMELİ TOKA;25mm;;8,12.;2;;;;;;
;1949050;TOKA;50mm;;12.13;2;;;;;;
;195023;TOKA;23mm;;3.9;4;;;;;;
;1951020;TOKA;20mm;;1;20;;;;;;
;1952050;HALKA YASSI;İÇİ 50 MM ET KALINLIGI 2,08;;9.63;8;;;;;;
;195304.5;PİRSİNG;DIŞ 54,5MM  ENİ 10,5;;4.65;20;;;;;;
;1954008;E;8mm;;1;24;;;;;;
;1955015;TOKA;15mm;;4.7;12;;;;;;
;1956020;?;20mm;;2.8;16;;;;;;
;1957021;ALTTAN DİKME DÜĞME;21mm;34BOY;;24;;;;;;
;1958035;TOKA;35mm;;18.27;6;;;;;;
;1959030;TOKA;30mm;;10.84;6;;;;;;
;1960/20;ALTTAN DİKME DÜĞME;20mm;32;2;24;;;;;;
;1961008;ALTTAN DİKME DÜĞME;8mm;14;0.33;40;;;;;;
;1962006;AYAR;6mm;;0.4;24;;;;;;
;zmk1963;?;?;;;12;;;;;;
;1964808;BAĞUCU DELİKLİ;8mm İÇ 4,20;;0.9;16;;;;;;
;1965025;PLAKA;8,96mm BOY 24,70 EN;;2.14;16;;;;;;
;1966044;TOKA;ENİ 44,15mm BOYU 22,42;;;4;;;;;;
;1966033;TOKA;ENİ 33mm  BOYU 17.46MM;;8.5;6;;;;;;
;1967010;AYAR;10mm;;1.22;12;;;;;;
;1968025;ALTTAN DİKME DÜĞME;25mm;40;3.37;10;;;;;;
;zmk1968;TOKA;?;;?;TOKA VE PUL İKİSİDE TEK GÖZ;;;;;;
;1969050;TOKA;50mm;;5.3;4;;;;;;
;1970090;YAKALIK;90mm;;52.87;2;;;;;;
;1971025;ALTTAN DİKME DÜĞME;25mm;40;3.77;10;;;;;;
;1972050;TOKA;İÇİ 50mm UZUNLUK 30mm ET KALINLIĞI 2,48;;7.6;4;;;;;;
;1973035;TOKA;35mm;;14.212;6;;;;;;
;1973035;TOKA;35mm;;17.85;6;;;;;;
;1974010;ALTTAN DİKME DÜĞME;10mm;16 Boy  ;0.85;40;;;;;;
;ZMK 1973;DİKME AKSESUAR;15mm;;1.42;16;;;;;;
;ZMK 1974;PLAKA;30mm;;1.79;8;;;;;;
;197522.5;ÇIT ÇIT;22,5mm;;3.8;12;;;;;;
;ZMK 1975;LOGOLU;26.53mm;;;10;;;;;;
;1976110;RİVET;10mm;;0.76;20;;;;;;
;ZMK 1976;LOGOLU;;;0.9;16;;;;;;
;ZMK 1977;;;;10.2;2+2+2;;;;;;
;1977047;TOKA;47mm;;24.2;2;;;;;;
;1978030;TOKA;30mm;;13.1;24;;;;;;
;1979023;ALTTAN DİKME DÜĞME;23mm;36;4;24;;;;;;
;198040;TOKA;40mm;;14;3+3;;;;;;
;ZMK1980;PLAKA;;;1.23;10;;;;;;
;1981010.5;ALTTAN DİKME DÜĞME;10,5mm;16;0.6;48;;;;;;
;ZMK-1981;?;?;;5.15;8;;;;;;
;1982030;TOKA;30mm;;25.3;2;;;;;;
;1983040;PİRSİNG;40mm;;6.52;12;;;;;;
;1984064;TOKA;64mm;;17.6;2;;;;;;
;1985030;TOKA;30mm;;7.95;8;;;;;;
;1986020;TOKA;20mm;;5.57;12;;;;;;
;1987020;TOKA;20mm;;11.12;4;;;;;;
;1988030;TOKA;30mm;;7.12;6+6;;;;;;
;1989055;TOKA;55mm;;30.2;4;;;;;;
;1990709;ÇITÇIT KAFASI;9mm;;0.6;48;;;;;;
;1991045;TOKA;45mm;;19.96;12;;;;;;
;1992010;GECMELİ TOKA;10mm;;7.65;12;;;;;;
;1992028;GECMELİ TOKA;28mm;;9.54;12;;;;;;
;1993068;TOKA;68mm;;11.75;4;;;;;;
;1994040;TOKA;40mm;;22.75;2;;;;;;
;1995015;ALTTAN DİKME DÜĞME;15mm;24 boy;1.39;32;;;;;;
;1996025;ALTTAN DİKME DÜĞME;25mm;40 boy;1.303;24;;;;;;
;1997020;TOKA;20mm;;3.786;14;;;;;;
;1997/018;TOKA;18mm;;2.89;14;;;;;;
;1998017;ALTTAN DİKME DÜĞME;12mm;28 boy;1.881;24;;;;;;
;1999025;TOKA;25mm;;4.05;8;;;;;;
;2000030;TOKA;30mm;;14.66 ;2;;;;;;
;2001015;TOKA;15mm;;4.62;8;;;;;;
;2002030;TOKA;30mm;;12.64;10;;;;;;
;2003058;TOKA;58mm;;12.865;6;;;;;;
;2004029;TOKA;29mm;;20.255;2;;;;;;
;2005062;TOKA;62mm;; 15     20 ;4+2;;;;;;
;2006058;TOKA;58mm;;13.95;6;;;;;;
;2007015;TOKA;15mm;;3,186.;12;;;;;;
;2008040;TOKA;40mm;;14.86;8;;;;;;
;2009020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,278.;24;;;;;;
;2009015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,659.;24;;;;;;
;200917.5;ALTTAN DİKME DÜĞME;17,5mm;28 boy;2,20.;24;;;;;;
;201010;KÖPRÜ;10mm;;9,45.;6;;;;;;
;2010015;KÖPRÜ;15mm;;13,76.;6;;;;;;
;2011035;TOKA;35mm;;11,331.;4;;;;;;
;2012058;TOKA;36mm;;13,178.;6;;;;;;
;2013-pl;PUL;;;0,6995.;10;;;;;;
?;2014043;TOKA;43mm;;14.57;4;;;;;;
;2015015;ALTTAN DİKME DÜĞME;15mm;24 boy;1.81;24;;;;;;
;201605.5;BAĞ UCU;5,5mm;;0.755;16;;;;;;
;2017012;PİRSİNG;12mm;;1.844;14;;;;;;
;2018023;ALTTAN DİKME DÜĞME;23mm;36 boy;2.8;24;;;;;;
;2018020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,815.;24;;;;;;
;2019051.5;TOKA;51.5 mm;;14.87;6;;;;;;
;;;;;;;;;;;;
;2021910;ÜSTTEN DİKME DÜĞME;10mm;16 Boy  ;0.4944;48;;;;;;
;2022960;ÜSTTEN DİKME DÜĞME;60mm;96 boy;27.68;2;;;;;;
;2023015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,5455.;32;;;;;;
;2023022.5;ALTTAN DİKME DÜĞME;22,5mm; 36 boy;3.052;24;;;;;;
;2024053;TOKA;53mm;;20.75;3+3;;;;;;
;2025050;ALTTAN DİKME DÜĞME;50mm;80 boy;10.78;6;;;;;;
;202635.7;ALTTAN DİKME DÜĞME;35.70mm;;7,586.;6;;;;;;
;"
2027010";ALTTAN DİKME DÜĞME;10mm;16 Boy  ;0.735;40;;;;;;
;"
2028012";ALTTAN DİKME DÜĞME;12mm;20 boy;0.796;32;;;;;;
;"
2029020";ALTTAN DİKME DÜĞME;20mm;32 boy;1.955;24;;;;;;
;"
2030030";TOKA;30mm;;13.574;10;;;;;;
?;2031052;TOKA;52mm;;14.23;3;;;;;;
?;2032909;AKSESUAR;09mm;;0.6729;48;;;;;;
;2033050;HALKA;50mm;;19,455.;6;;;;;;
;2033060;HALKA;60mm;;27,046.;4;;;;;;
;2034035;TOKA;35mm;;16,115.;6;;;;;;
?;2035020;TOKA;22mm;;5.27;8;;;;;;
?;2036010;ALTTAN DİKME DÜĞME;10MM  YENİ KOD;16 Boy  ;0.752;40;;;;;;
?;2037023;ALTTAN DİKME DÜĞME;23mm;38 boy;3.08;10;;;;;;
?;2038045;TOKA;45mm;;8.88;2;;;;;;
;2039010.5;ALTTAN DİKME DÜĞME;10,5mm;16 Boy  ;1.4375;36;;;;;;
?;2040044.7;BİJUTERİ KÖPRÜ;44,74mm;;0.722;18;;;;;;
;2041023;ALTTAN DİKME DÜĞME;23 mm ;36 boy;2.7425;24;;;;;;
;2042018;ALTTAN DİKME DÜĞME;18 mm;30 boy;2.34;32;;;;;;
ÜRÜN YOK ;2043008;AYAR;8mm;;0.3705;40;;;;;;
?;2044007;HALKA;7mm;;0.22;40;;;;;;
;2045039-PUL;PUL;39mm;;2.65;8;;;;;;
?;2045039;TOKA;39mm;;16;6;;;;;;
?;2046032.7;KÖPRÜ;32,70mm;;17.17;8;;;;;;
?;2047010;BAĞ UCU;10mm;;2.66;24;;;;;;
?;2048025;ALTTAN DİKME DÜĞME;25mm;40 boy;4.316;10;;;;;;
;2049027;PİRSİNG;27mm;;7.7855.;6;;;;;;
;2050030;TOKA;30mm;;9,34.;8;;;;;;
;2051709;ÇIT ÇIT;9mm;;0.78.;48;;;;;;
;2052055;TOKA;55mm;;16,07.;6;;;;;;
;2053014;TOKA;14mm;;4.9;12;;;;;;
;2054030;TOKA;30mm;;8,27.;8;;;;;;
;2055018;TOKA;18mm;;25,77.;4;;;;;;
;205608;TOKA;8mm;;1,234.;16;;;;;;
;2057015;TOKA;15mm;;4,67.;10;;;;;;
;2058050;PİRSİNG;50mm;;7,91.;6;;;;;;
piercin topu;;;;;;;;;;;;
;2059050;PİRSİNG;50mm;;11.04.;6;;;;;;
;2060040;TOKA;40mm;;15,5.;6;;;;;;
;2061927;ÜSTTEN DİKME DÜĞME;27mm;43 boy;3,364.;12;;;;;;
;2062030;TOKA;30mm;;8,4.;8;;;;;;
;2063923;ÜSTTEN DİKME DÜĞME;23 mm ;36 boy;2,489.;24;;;;;;
;2064020;ALTTAN DİKME DÜĞME;20mm;32 boy;3,185.;24;;;;;;
;2065020;TOKA;20mm;;7,2485.;10;;;;;;
;2066020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,18.;12;;;;;;
;2066025;ALTTAN DİKME DÜĞME;25mm;40 boy;4,2935.;24;;;;;;
;2067018;ALTTAN DİKME DÜĞME;18mm;28 boy;2,32.;20;;;;;;
;2068007;RİVET;7mm;;0,75.;58;;;;;;
;2069050;TOKA;50mm;;5,91.;16;;;;;;
;2070034;ALTTAN DİKME DÜĞME;34mm;55 boy;11,641.;8;;;;;;
;2070018;ALTTAN DİKME DÜĞME;18mm;28 boy;3,11.;24;;;;;;
;2071025;ALTTAN DİKME DÜĞME;25mm;40 boy;4,702.;10;;;;;;
;2071035;ALTTAN DİKME DÜĞME;35mm;56 boy;9,1555.;8;;;;;;
;2072045;ALTTAN DİKME DÜĞME;45mm;72 boy;7,444.;6;;;;;;
;2072040;ALTTAN DİKME DÜĞME;40mm;64 boy;5,752.;8;;;;;;
;2073018;ALTTAN DİKME DÜĞME;18mm;28 boy;2,2658.;32;;;;;;
;2074028;ALTTAN DİKME DÜĞME;28mm;45 boy;7,166.;8;;;;;;
;2075023;ALTTAN DİKME DÜĞME;23 mm ;36 boy;4,19.;24;;;;;;
;2076086.5;PİRSİNG;86.50mm;;14,376.;8;;;;;;
;2077040;PİRSİNG;40mm;;16,398.;8;;;;;;
;2078037;ALTTAN DİKME DÜĞME;37mm;59 boy;7,5.;8;;;;;;
;2079009;KÖPRÜ;9mm;;3,756.;12;;;;;;
;208006;KÖPRÜ;6mm;;9,798.;8;;;;;;
;2081023;ALTTAN DİKME DÜĞME;23mm;36 boy;4,942.;10;;;;;;
;2081015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,8828.;14;;;;;;
;2082040;TOKA;40mm;;21,15.;4;;;;;;
;2083029;ALTTAN DİKME DÜĞME;83mm;46 boy;7,72.;8;;;;;;
;2084028;ALTTAN DİKME DÜĞME;28mm;45 boy;3,42.;24;;;;;;
;2085038;ALTTAN DİKME DÜĞME;38mm;60 boy;10,92.;8;;;;;;
;2085026;ALTTAN DİKME DÜĞME;26mm;42 boy;3,6.;24;;;;;;
;2086018;ALTTAN DİKME DÜĞME;18mm;28 boy;2,496.;12;;;;;;
;2086025;ALTTAN DİKME DÜĞME;25mm;40 boy;2,409.;24;;;;;;
;2086027;ALTTAN DİKME DÜĞME;27mm;43 boy;3.;24;;;;;;
;2086737;ÇIT ÇIT;37mm;59 boy;7,708.;8;;;;;;
;2087028;ALTTAN DİKME DÜĞME;28mm;45 boy;6,11.;12;;;;;;
;2087035;ALTTAN DİKME DÜĞME;;56 boy;;;;;;;;
;2087735;ÇIT ÇIT;35mm;56 boy;8,98.;8;;;;;;
;2088030;TOKA;30 mm;;14.;6;;;;;;
;2089030;TOKA;30mm;;10,226.;10;;;;;;
;2090040;TOKA;40mm;;28,189.;6;;;;;;
;2090040-D;DİL;40mm;;4.1608;12;;;;;;
;2095045;ALTTAN DİKME DÜĞME;45mm;72 boy;6,99.;8;;;;;;
;2091745;ÇIT ÇIT;45mm;;7.482;8;;;;;;
;2092025;TOKA;25mm;;8,737.;10;;;;;;
;2093023;ALTTAN DİKME DÜĞME;23mm;36 boy;3,322.;24;;;;;;
;2094020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,661.;24;;;;;;
;2095;DİKME;90 mm;;15,725.;4;;;;;;
;Zmk1983;ALTTAN DİKME DÜĞME;20mm;32 boy;3,566.;12;;;;;;
;2009015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,604.;32;;;;;;
;2096018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,54.;32;;;;;;
;2096023;ALTTAN DİKME DÜĞME;23mm;36 boy;2,385.;24;;;;;;
;zmk1984;;;;0,303.;24;;;;;;
;2097022;ALTTAN DİKME DÜĞME;22mm;34 boy;2,935.;24;;;;;;
;2098020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,566.;24;;;;;;
;2099011;ALTTAN DİKME DÜĞME;11mm;18 boy;1,10.;48;;;;;;
;2100811;BAĞ UCU;11mm;;1,22.;12;;;;;;
;2101050;TOKA;50mm;;9,278.;6;;;;;;
;2102023;ALTTAN DİKME DÜĞME;23mm;36 boy;3,666.;24;;;;;;
;ZMK1985110;TOKA;10mm;16 Boy  ;toka 0,962. pul 0,292.;takım 20 göz;;;;;;
;2103022;ALTTAN DİKME DÜĞME;22mm;34 boy;1,99.;24;;;;;;
;2103018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,311.;24;;;;;;
;2104;TOKA;;;16,89.;2;;;;;;
;2105024;ALTTAN DİKME DÜĞME;24mm;38 boy;2,4655.;24;;;;;;
;2106050;PİRSİNG;50mm;;4.;12;;;;;;
;2107030;TOKA;30mm;;16,84.;2;;;;;;
;2108;TOKA;50mm;;11,222 pullu gramaj;4;;;;;;
;2110753;ÇIT ÇIT;53mm;;7,857.;6;;;;;;
;2111735;ÇIT ÇIT;35mm;;7,557.;10;;;;;;
;2112750;ÇIT ÇIT;50mm;;7,50.;6;;;;;;
;ZMK1987;PLAKA;;;0,7659.;12;;;;;;
;2113015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,773.;32;;;;;;
alttaki modelin düğmesi;2114036;ALTTAN DİKME DÜĞME;36mm;;5,89.;8;;;;;;
;2114736;ÇIT ÇIT;36mm;;6,118.;8;;;;;;
;2115737;ÇIT ÇIT;37mm;;5,299.;8;;;;;;
;2116050;TOKA;50mm;;26,146.;6;;;;;;
;2117758;ÇIT ÇIT;58mm;;11,147.;2;;;;;;
;2117058;ALTTAN DİKME DÜĞME;58mm;;11,59.;2;;;;;;
;2117158-K;TOKA;58mm;;11,988.;2;;;;;;
;2118;TOKA;;;12,797.;8;;;;;;
;2119;SALLANTI;;;1,699.;20;;;;;;
;2120;KÖPRÜ;;;KÖPRÜ 31,46. PUL 10,17.;KÖPRÜ 4 PUL 4 ;;;;;;
;2121;TOKA;;;7,240.;8;;;;;;
;2122745;ÇIT ÇIT;45mm;;6,26.;8;;;;;;
;2122045;ALTTAN DİKME DÜĞME;45mm;;5,82.;8;;;;;;
;2112750;ÇIT ÇIT;50mm;;7,50.;6;;;;;;
;2112050;ALTTAN DİKME DÜĞME;50mm;;7,656.;6;;;;;;
;2123;KÖPRÜ;;;14,70.;4;;;;;;
;2124020;ALTTAN DİKME DÜĞME;20mm;;2,212.;20;;;;;;
;2126746;ÇIT ÇIT;46mm;;8,516.;6;;;;;;
;2127020;TOKA;20mm;;5,08.;4;;;;;;
;2133032;ALTTAN DİKME DÜĞME;32mm;51 boy;4,33.;12;;;;;;
;2137020;ALTTAN DİKME DÜĞME;20mm;32 boy;3,062.;24;;;;;;
;2137023;ALTTAN DİKME DÜĞME;23mm;36 boy;3,124.;24;;;;;;
;2138032;ALTTAN DİKME DÜĞME;32mm;51 boy;3,715.;8;;;;;;
;2139022;ALTTAN DİKME DÜĞME;22mm;35 boy;3,658.;12;;;;;;
;2134040;TOKA;40mm;;28,73.;4;;;;;;
;2134040;PUL;40mm;;2.475;24;;;;;;
;2117058;ALTTAN DİKME DÜĞME;58mm;93 boy;11,59.;2;;;;;;
;2135737;ÇIT ÇIT;37mm;59 boy;6,636.;10;;;;;;
;2111035;ALTTAN DİKME DÜĞME;35mm;56 boy;7,32.;10;;;;;;
;2111735;ÇIT ÇIT;35mm;56 boy;7,557.;10;;;;;;
;2135737;ÇIT ÇIT;37mm;59 boy;6,636.;10;;;;;;
;2130;TOKA;;;8,73.;8;;;;;;
;2131;TOKA;;;13,10.;4;;;;;;
;2132040;TOKA;40mm;;10,02.;6;;;;;;
;2129080;TOKA;80mm;;24,10.;2;;;;;;
;2136;PİRSİNG;;;11,2.;4;;;;;;
;ZMK1988;PLAKA;;;0,427.;12;;;;;;
;2140019;ALTTAN DİKME DÜĞME;19mm;32 boy;1,743.;32;;;;;;
;2141050;TOKA;50mm;;5,60.;4;;;;;;
;2142040;TOKA;40mm;;14,455.;6;;;;;;
;2143;ALTTAN DİKME DÜĞME;;;3,198.;24;;;;;;
;2128042;ALTTAN DİKME DÜĞME;42mm;67 boy;9,815.;8;;;;;;
;2110053;ALTTAN DİKME DÜĞME;53mm;83 boy;7,174.;6;;;;;;
;2144018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,88.;32;;;;;;
;2145025;ALTTAN DİKME DÜĞME;25mm;40 boy;2,873.;10;;;;;;
;2146015;ALTTAN DİKME DÜĞME;15mm;24 boy;1,4765.;32;;;;;;
;2146020;ALTTAN DİKME DÜĞME;20mm;32 boy;;;;;;;;
;2146018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,967.;40;;;;;;
;2147761;ÇIT ÇIT;61mm;98 boy;17,0285.;2;;;;;;
;2148030;TOKA;30mm;;12,90.;4;;;;;;
;2150018;ALTTAN DİKME DÜĞME;18mm;28 boy;2,1776.;32;;;;;;
;2149015.5;ALTTAN DİKME DÜĞME;15,5mm;26 boy;2,1446.;32;;;;;;
;2151819;BAĞ UCU;19mm;;6,30.;12;;;;;;
;2152;TOKA;;;8,89.;6;;;;;;
;2152-PL;PUL;;;0,59.;32;;;;;;
;2155078;TOKA;78mm;;20,984.;4;;;;;;
;2156050;TOKA;50mm;;14,279.;4;;;;;;
;2108;PUL;;;1,09.;24;;;;;;
;2157072;ALTTAN DİKME DÜĞME;72mm;115 boy;15,188.;4;;;;;;
;2158;PİRSİNG;;;16,8854.;6;;;;;;
;2159021;ALTTAN DİKME DÜĞME;21mm;34 boy;2,4098.;20;;;;;;
;2154025;TOKA;25mm;;8,21.;8;;;;;;
;2160018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,874.;32;;;;;;
;2160030;TOKA;30mm;;13,246.;8;;;;;;
;2162063;TOKA;63mm;;10,529.;2;;;;;;
;2127020;TOKA;20mm;;5,08.;10;;;;;;
;1801060-K;TOKA;60mm;;18,667.;2;;;;;;
;2163030-K;TOKA;30mm;;5,351.;12;;;;;;
;2163037-K;TOKA;37mm;;5,84.;16;;;;;;
;ÜSTTEKİ ÜRÜNÜN PULU;PUL;;;2,3365.;24;;;;;;
;2164022;ALTTAN DİKME DÜĞME;22mm;34 boy;2,2354.;24;;;;;;
;2165023;ALTTAN DİKME DÜĞME;23mm;36 boy;3,72.;24;;;;;;
;2166027;ALTTAN DİKME DÜĞME;27mm ;43 boy;4,0842.;10;;;;;;
;2167;PLAKA;;;1,148.;24;;;;;;
;2167-2;PLAKA;;;1,07.;24;;;;;;
;2167-PL;PUL;;;0,54.;24;;;;;;
;2070933;ÜSTTEN DİKME DÜĞME;33 mm;53 boy;11,195.;8;;;;;;
;2167;PLAKA;;;1,148.;24;;;;;;
;2168015;TOKA;15 mm;;4,077.;12;;;;;;
;2169019;ALTTAN DİKME DÜĞME;19mm;;2,099.;32;;;;;;
;2170028;ALTTAN DİKME DÜĞME;28mm;45 boy;2,377.;24;;;;;;
;2171011;ALTTAN DİKME DÜĞME;11mm;17 boy;1,031.;48;;;;;;
;2172018;ALTTAN DİKME DÜĞME;18mm;28 boy;1,72.;32;;;;;;
;2173038;ALTTAN DİKME DÜĞME;38mm;60 boy;6,22.;8;;;;;;
;2174023;ALTTAN DİKME DÜĞME;23mm;;4,05.;10;;;;;;
;2175;TOKA;;;8,36.;2;;;;;;
;;;;;;;;;;;;
;ZMK1990;PLAKA;;;2,362.;8;;;;;;
;ZMK1991;PLAKA;;;3,74.;6;;;;;;
;ZMK1992;SALLANTI;;;1,22.;12;;;;;;
;;;;;;F;;;;;;
;2178034;ALTTAN DİKME DÜĞME;34mm;54 boy;5,509.;6;;;;;;
;2179037-K;KÖPRÜ;37mm;pul için 2152 kodlu sarmal tokanın pulu kullanılıyor;6,098.;6;;;;;;
yukardaki tokanın pulu;2152-PL;PUL;;;0,59.;32;;;;;;
;2180030;ALTTAN DİKME DÜĞME;30mm;48 boy;6,67.;8;;;;;;
;2181028;PİERCİNG;28mm;;5,04.;8;;;;;;
;2182020;HALKA;20mm;;6,90.;8;;;;;;
;2184034;ALTTAN DİKME DÜĞME;34mm;54 boy;3,93.;8;;;;;;
;2185029;ALTTAN DİKME DÜĞME;29mm;46 boy;3,696.;8;;;;;;
;2186032;ALTTAN DİKME DÜĞME;32mm;51 boy;9,010.;8;;;;;;
;2128742;ÇIT ÇIT;42mm;67 boy;;8;;;;;;
;2126746;ÇIT ÇIT;46mm;73 boy;8,516.;6;;;;;;
;21610228;ALTTAN DİKME DÜĞME;28mm;;2,441.;8;;;;;;
;182160;TOKA;60mm;;18,667.;2;;;;;;
;20860337;ALTTAN DİKME DÜĞME;37mm;59 boy;6,52.;8;;;;;;
;2107035;TOKA;35mm;;16.84;2;;;;;;
;19860110;DİKME PLAKA;10mm;16 boy;0,5437.;20;;;;;;
;1608015;ALTTAN DİKME DÜĞME;15mm;24 boy;;32;;;;;;
;21060;;;;;10;;;;;;
;2228;TOKA;;;10,715.;2;;;;;;
;2231021;TOKA;21mm;;18,08.;4;;;;;;
;2232;TOKA;;;8,38.;4+4;;;;;;
;2211750;ÇIT ÇIT;50mm;80 boy;9,76.;4;;;;;;
;2214035;TOKA;35mm;;11,38.;8;;;;;;
;2214035;TOKA;35mm;;1,033.;32;;;;;;
;2216020;TOKA;20mm;;12,49.;8;;;;;;
;2218020;TOKA;20mm;;7,854.;8;;;;;;
;222059;TOKA;59mm;;16,00.;4+4;;;;;;
;2221040;TOKA;40mm;;8,82.;4;;;;;;
;2213019;TOKA;19mm;;8,131.;8;;;;;;
;2215040;TOKA;40mm;;11,36.;2;;;;;;
;1606915;ÜSTTEN DİKME DÜĞME;15mm;24 boy;1,05.;16;;;;;;
;2078149;TOKA;49mm;;16 gr toka-1,356. pul;2+2;;;;;;
;2233;TOKA;;;2,354.;8;;;;;;
;223415;TOKA;15mm;;3,847.;8;;;;;;
;2235022;TOKA;22mm;;4,747.;10;;;;;;
;2236034;TOKA;34mm;;5,525.;8;;;;;;
;2227735;ÇIT ÇIT;35mm;;9,48.;4;;;;;;
;2241010;TOKA;10mm;;1,66.;12;;;;;;
;2243009;TOKA;09mm;;3,11.;10;;;;;;
;2242010;TOKA;10mm;;4,36.;12;;;;;;
;2276;BOYUNLUK;76mm;;15.63.;1;;;;;;
;2224075;TOKA;75mm;;;4+4;;;;;;
;2223010;ALTTAN DİKME DÜĞME;10mm;;0,7915.;40;;;;;;
;2225806;BAĞ UCU;06mm;;1.542;16;;;;;;
